Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8813192754798594,0.7317073170731707,0.36713286713286714,0.4889406286379511,0.8936266803231946
Decision Tree,0.851581508515815,0.5192629815745393,0.541958041958042,0.5303678357570573,0.725088390982219
Random Forest,0.8959178156258448,0.7416020671834626,0.5017482517482518,0.5985401459854015,0.9214818600012076
SVM,0.8461746417950797,0.6666666666666666,0.01048951048951049,0.020654044750430294,0.8139090282918233
